"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012",
"Afghanistan","AFG","Fossil fuel energy consumption (% of total)","EG.USE.COMM.FO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Energy use (kg of oil equivalent) per $1,000 GDP (constant 2005 PPP)","EG.USE.COMM.GD.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Energy use (kt of oil equivalent)","EG.USE.COMM.KT.OE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Combustible renewables and waste (metric tons of oil equivalent)","EG.USE.CRNW.KT.OE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Combustible renewables and waste (% of total energy)","EG.USE.CRNW.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Energy use (kg of oil equivalent per capita)","EG.USE.PCAP.KG.OE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Pump price for diesel fuel (US$ per liter)","EP.PMP.DESL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.27","","0.58","","0.65","","0.96","","1","","1.21",
"Afghanistan","AFG","Pump price for gasoline (US$ per liter)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.34","","0.53","","0.68","","1.05","","1.15","","1.28",
"Angola","AGO","Energy production (kt of oil equivalent)","EG.EGY.PROD.KT.OE","","","","","","","","","","","","9118.183","10517.158","11679.821","12114.147","11395.378","11157.755","10713.492","10180.688","10995.003","11300.57","10304.325","10399.685","12906.697","14288.149","15743.473","18336.721","22321.409","27063.631","27188.633","28652.03","29955.51","32754.745","30535.47","32947.805","36417.313","39803.266","41578.243","43000.522","43601.388","43749.22","43548.137","51553.312","51497.412","57787.961","71115.057","80231.433","95322.468","106073.512","101271.492","98929.791","92160.322","",
"Angola","AGO","GDP per unit of energy use (PPP $ per kg of oil equivalent)","EG.GDP.PUSE.KO.PP","","","","","","","","","","","","","","","","","","","","","","","","","","3.36494704281663","3.4962433557843","3.791418156828","3.98149742895859","4.0574808790813","3.92482845329891","3.91573880537761","3.70169831518435","2.75040064146456","2.86544964331228","3.21708017964778","3.51378589455034","3.75636235212585","4.0478006126012","4.01096766813296","4.0795251955261","4.09328109984849","4.52120325627641","4.39865085597161","4.67882107143585","5.91236812837373","6.88951255975736","8.12980495980375","8.73335979897598","8.3047315535988","8.18716505736726","8.5621955491786","",
"Angola","AGO","GDP per unit of energy use (constant 2005 PPP $ per kg of oil equivalent)","EG.GDP.PUSE.KO.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","5.46425973144825","5.55329862737398","5.85072084891687","5.93728346920148","5.83108567976508","5.43434635915661","5.24356558998902","4.85468825321104","3.52969962465733","3.60396885986329","3.95423273634648","4.24377898275644","4.45094703122601","4.72982792552182","4.61905986347048","4.59851194934737","4.51173258820205","4.90376923595093","4.67242366586869","4.83412344404552","5.91236812837373","6.67420397317019","7.65384179071787","8.04417657403309","7.58272906867521","7.37670419194385","7.55389740141825","",
"Angola","AGO","Energy imports, net (% of energy use)","EG.IMP.CONS.ZS","","","","","","","","","","","","-136.789917179727","-153.693308526423","-182.757279174801","-187.075366914788","-176.525498954844","-173.974390517597","-166.830016687007","-130.490939691978","-145.520957591765","-147.653491946298","-124.340308114205","-129.536934935785","-177.162712311364","-203.69559765004","-215.487057463691","-263.269770887141","-331.783550046493","-403.089252529376","-394.395232764759","-387.018022299596","-397.266037863952","-440.718544685688","-386.724353281047","-418.093192540974","-469.11682086203","-500.340959652253","-509.570053158573","-527.239666971871","-501.618523079063","-483.400486704699","-452.403826882554","-520.812862175273","-471.961250399005","-497.250411780397","-660.117653270764","-701.804622801285","-791.113948666547","-815.671114118263","-704.653685397836","-639.491311425916","-578.837041892481","",
"Angola","AGO","Alternative and nuclear energy (% of total energy use)","EG.USE.COMM.CL.ZS","","","","","","","","","","","","1.35116605916565","1.41064579258248","1.69472978835487","1.74859337383873","1.98256988619515","0.903806309259497","0.916739309108117","1.02803784867323","1.06582192891216","1.12139734392974","1.11404614724437","1.1977335189696","1.06744615633057","1.09858951359899","1.20808494709243","1.19432920464363","1.16616756129073","1.12066406307365","1.11030859523597","1.05980531537834","1.10211733286676","1.19254500891685","1.22001993092398","1.21032745671157","1.20957968356208","1.19982926376787","1.10322474425345","1.32973195165295","1.06085701969879","1.04589903484503","1.10944685203874","1.18371953922388","1.18536318699053","1.555448322064","2.03974092637334","2.29044396477159","2.00749724151657","2.32664438754145","2.11417316953717","2.38044497692383","2.53827891693166","",
"Angola","AGO","Fossil fuel energy consumption (% of total)","EG.USE.COMM.FO.ZS","","","","","","","","","","","","15.834196369121","21.2608056842657","20.1069410228998","20.9261042279001","17.82626378517","16.8222447142506","14.22482628079","20.3840290081998","19.9556566271436","19.9630642352265","19.1593948140793","16.6165495845697","17.6234054770716","17.0652488118416","20.307574107072","19.8912888219892","20.3842360205843","22.0179649033579","22.1032510621213","25.4803884173733","25.4828610894249","24.0980759316387","24.9646618214416","24.4396830159153","22.6215623675069","23.1742007297013","23.3851685250933","21.5076266312227","23.8705109786366","24.1816278777325","25.4041917003197","26.6195039764995","29.8567781480719","32.0412432548578","26.9971363206295","29.2635471630684","32.0270513202719","34.977279901991","38.5247205484563","40.1883318594056","39.2790342692919","",
